Title,Authors,Publication Year,Journal,PMID,PMCID,DOI,Link,Associated Data,Associated Data Repository(-ies)
Large-Scale Metabolomics Reveals a Complex Response of Aspergillus nidulans to Epigenetic Perturbation,"Jessica C. Albright, Matthew T. Henke, Alexandra A. Soukup, Ryan A. McClure, Regan J. Thomson, Nancy P. Keller & Neil L. Kelleher",2015,ACS Chemical Biology,25815712,PMC4475433,10.1021/acschembio.5b00025,http://pubs.acs.org/doi/abs/10.1021/acschembio.5b00025,MSV000079900,GNPS
Enzymatic Synthesis of Polybrominated Dioxins from the Marine Environment,Vinayak Agarwal & Bradley S. Moore,2014,ACS Chemical Biology,25061970,PMC4168793,10.1021/cb5004338,http://pubs.acs.org/doi/abs/10.1021/cb5004338,MSV000078924,GNPS
Enzymatic Synthesis of Polybrominated Dioxins from the Marine Environment,Vinayak Agarwal & Bradley S. Moore,2014,ACS Chemical Biology,25061970,PMC4168793,10.1021/cb5004338,http://pubs.acs.org/doi/abs/10.1021/cb5004338,MSV000078923,GNPS
1H-NMR metabolomics: Profiling method for a rapid and efficient screening of transgenic plants,"Yosra Ben Akal-Ben Fatma, Katia Pianelli, Martine Dieuaide-Noubhani, Aline Le Menn, Catherine Deborde, Micka‘l Maucourt, Marie-H_lène Andrieu, Dominique Rolin, Christophe Rothan, Annick Moing, Sadok Bouzid & C_cile Cabasson",2012,African Journal of Biotechnology,NA,NA,10.5897/AJB12.088,https://www.ajol.info/index.php/ajb/article/view/128699,T06005,MeRy-B
Rapamycin-mediated lifespan increase in mice is dose and sex dependent and metabolically distinct from dietary restriction.,"Richard A. Miller, David E. Harrison, Clinton M. Astle, Elizabeth Fernandez, Kevin Flurkey, Melissa Han, Martin A. Javors, Xinna Li, Nancy L. Nadon, James F. Nelson, Scott Pletcher, Adam B. Salmon, Zelton Dave Sharp, Sabrina Van Roekel, Lynn Winkleman & Randy Strong",2014,Aging Cell,24341993,PMC4032600,10.1111/acel.12194,http://onlinelibrary.wiley.com/doi/10.1111/acel.12194/abstract,ST000090,Metabolomics Workbench
Right ventricular nitric oxide signaling in an ovine model of congenital heart disease: a preserved fetal phenotype,"Rebecca Johnson Kameny, Youping He, Catherine Morris, Christine Sun, Michael Johengen, Wenhui Gong, Gary W. Raff, Sanjeev A. Datar, Peter E. Oishi & Jeffrey R. Fineman",2015,American Journal of Physiology - Heart and Circulatory Physiology,25934095,PMC4491525,10.1152/ajpheart.00103.2015,http://ajpheart.physiology.org/content/309/1/H157.long,ST000185,Metabolomics Workbench
Impact of insulin deprivation and treatment on sphingolipid distribution in different muscle subcellular compartments of streptozotocin-diabetic C57Bl/6 mice.,"Piotr Zabielski, Agnieszka Blachnio-Zabielska, Ian R. Lanza, Srinivas Gopala, S. Manjunatha, Daniel R. Jakaitis, Xuan-Mai Persson, Jaime Gransee, Katherine A. Klaus, Jill M. Schimke, Michael D. Jensen & K. Sreekumaran Nair",2014,American Journal of Physiology Endocrinology and Metabolism,24368672,PMC3948970 ,10.1152/ajpendo.00610.2012,http://ajpendo.physiology.org/content/306/5/E529.long,ST000115,Metabolomics Workbench
Stability-based biomarker selection,"Ron Wehrens, Pietro Franceschi, Urska Vrhovsek & Fulvio Mattivi",2011,Analytica Chimica Acta,21962342,NA,10.1016/j.aca.2011.01.039,http://www.sciencedirect.com/science/article/pii/S0003267011001279?via%3Dihub,MTBLS59,MetaboLights
Utilization of metabolomics to identify serum biomarkers for hepatocellular carcinoma in patients with liver cirrhosis.,"Habtom W. Ressom, Jun Feng Xiao, Leepika Tulia, Rency S. Varghese, Bin Zhou, Tsung-Heng Tsai, Mohammad R. Nezami Ranjbara, Yi Zhao, Jinlian Wang, Cristina Di Poto, Amrita K.Cheema, Mahlet G. Tadesse, Radoslav Goldman & Kirti Shetty",2012,Analytica Chimica Acta,22882828,PMC3419576,10.1016/j.aca.2012.07.013,http://www.sciencedirect.com/science/article/pii/S0003267012010148?via%3Dihub,MTBLS17,MetaboLights
Improving global feature detectabilities through scan range splitting for untargeted metabolomics by high-performance liquid chromatography-Orbitrap mass spectrometry.,"Christina Ranninger, Lukas E. Schmidt, Marc Rurik, Alice Limonciel, Paul Jennings, Oliver Kohlbacher & Christian G.Huber",2016,Analytica Chimica Acta,27265900,NA,10.1016/j.aca.2016.05.017,http://www.sciencedirect.com/science/article/pii/S000326701630647X?via%3Dihub,MTBLS233,MetaboLights
1H NMR metabolite fingerprints of grape berry: Comparison of vintage and soil effects in Bordeaux grapevine growing areas,"Giuliano E. Pereira, Jean-Pierre Gaudillere, Cornelius van Leeuwen, Ghislaine Hilbert, Micka‘l Maucourt, Catherine Deborde Annick Moing & Dominique Rolin",2008,Analytica Chimica Acta,NA,NA,10.1016/j.aca.2005.11.007,http://www.sciencedirect.com/science/article/pii/S0003267005018647?via%3Dihub,V02001,MeRy-B
Analysis of colorectal adenocarcinoma tissue by desorption electrospray ionization mass spectrometric imaging,"Stefanie Gerbig, Ottmar Golf, Julia Balog, Julia Denes, Zsolt Baranyai, Attila Zarand, Erzsebet Raso, Jozsef Timar & Zoltan Takats",2012,Analytical and Bioanalytical Chemistry,22447214,NA,10.1007/s00216-012-5841-x,https://link.springer.com/article/10.1007%2Fs00216-012-5841-x,MTBLS289,MetaboLights
High-throughput carotenoid profiling using multivariate curve resolution,"Ron Wehrens, Elisabete Carvalho, Domenico Masuero, Anna de Juan & Stefan Martens",2013,Analytical and Bioanalytical Chemistry,23224571,NA,10.1007/s00216-012-6555-9,https://link.springer.com/article/10.1007/s00216-012-6555-9,MTBLS85,MetaboLights
Quantitative profiling of endocannabinoids in lipoproteins by LC-MS/MS.,"Mesut Bilgin, Laura Bindila, Juergen Graessler & Andrej Shevchenko",2015,Analytical and Bioanalytical Chemistry,25782872,NA,10.1007/s00216-015-8559-8,https://link.springer.com/article/10.1007%2Fs00216-015-8559-8,MTBLS163,MetaboLights
Olive oil authenticity studies by target and nontarget LC-QTOF-MS combined with advanced chemometric techniques,"Natasa P. Kalogiouri, Nikiforos A. Alygizakis, Reza Aalizadeh & Nikolaos S. Thomaidis",2016,Analytical and Bioanalytical Chemistry,27585916,NA,10.1007/s00216-016-9891-3,https://link.springer.com/article/10.1007/s00216-016-9891-3,MTBLS433,MetaboLights
CAMERA: An Integrated Strategy for Compound Spectra Extraction and Annotation of Liquid Chromatography/Mass Spectrometry Data Sets,"Carsten Kuhl, Ralf Tautenhahn, Christoph B_ttcher, Tony R. Larson & Steffen Neumann",2012,Analytical Chemistry,22111785,PMC3658281,10.1021/ac202450g,http://pubs.acs.org/doi/abs/10.1021/ac202450g,MTBLS188,MetaboLights
