UID,Authors,PubDate(Year),PubDate(Month),Title,Summary
9748443,"Tweeddale H, Notley-McRobb L, Ferenci T","1998","Oct","Effect of slow growth on metabolism of Escherichia coli, as revealed by global metabolite pool ('metabolome') analysis.","Tweeddale H, Notley-McRobb L, Ferenci T.Effect of slow growth on metabolism of Escherichia coli, as revealed by global metabolite pool ('metabolome') analysis. J Bacteriol. 1998 Oct; 180(19):5109-16." 
10675895,"Kell DB, King RD","2000","Mar","On the optimization of classes for the assignment of unidentified reading frames in functional genomics programmes: the need for machine learning.","Kell DB, King RD.On the optimization of classes for the assignment of unidentified reading frames in functional genomics programmes: the need for machine learning. Trends Biotechnol. 2000 Mar; 18(3):93-8." 
10731098,"Tweeddale H, Notley-McRobb L, Ferenci T","1999","","Assessing the effect of reactive oxygen species on Escherichia coli using a metabolome approach.","Tweeddale H, Notley-McRobb L, Ferenci T.Assessing the effect of reactive oxygen species on Escherichia coli using a metabolome approach. Redox Rep. 1999; 4(5):237-41." 
10894722,"Liu X, Ng C, Ferenci T","2000","Aug","Global adaptations resulting from high population densities in Escherichia coli cultures.","Liu X, Ng C, Ferenci T.Global adaptations resulting from high population densities in Escherichia coli cultures. J Bacteriol. 2000 Aug; 182(15):4158-64." 
10980152,"Paton NW, Khan SA, Hayes A, Moussouni F, Brass A, Eilbeck K, Goble CA, Hubbard SJ, Oliver SG","2000","Jun","Conceptual modelling of genomic information.","Paton NW, Khan SA, Hayes A, Moussouni F, Brass A, Eilbeck K, Goble CA, Hubbard SJ, Oliver SG.Conceptual modelling of genomic information. Bioinformatics. 2000 Jun; 16(6):548-57." 
11135551,"Raamsdonk LM, Teusink B, Broadhurst D, Zhang N, Hayes A, Walsh MC, Berden JA, Brindle KM, Kell DB, Rowland JJ, Westerhoff HV, van Dam K, Oliver SG","2001","Jan","A functional genomics strategy that uses metabolome data to reveal the phenotype of silent mutations.","Raamsdonk LM, Teusink B, Broadhurst D, Zhang N, Hayes A, Walsh MC, Berden JA, Brindle KM, Kell DB, Rowland JJ, Westerhoff HV, van Dam K, Oliver SG.A functional genomics strategy that uses metabolome data to reveal the phenotype of silent mutations. Nat Biotechnol. 2001 Jan; 19(1):45-50." 
11167079,"Delneri D, Brancia FL, Oliver SG","2001","Feb","Towards a truly integrative biology through the functional genomics of yeast.","Delneri D, Brancia FL, Oliver SG.Towards a truly integrative biology through the functional genomics of yeast. Curr Opin Biotechnol. 2001 Feb; 12(1):87-91." 
11238787,"Vigneau-Callahan KE, Shestopalov AI, Milbury PE, Matson WR, Kristal BS","2001","Mar","Characterization of diet-dependent metabolic serotypes: analytical and biological variability issues in rats.","Vigneau-Callahan KE, Shestopalov AI, Milbury PE, Matson WR, Kristal BS.Characterization of diet-dependent metabolic serotypes: analytical and biological variability issues in rats. J Nutr. 2001 Mar; 131(3):924S-932S." 
11356281,"Tomita M","2001","Jun","Whole-cell simulation: a grand challenge of the 21st century.","Tomita M.Whole-cell simulation: a grand challenge of the 21st century. Trends Biotechnol. 2001 Jun; 19(6):205-10." 
11360168,"Boersma MG, Solyanikova I, Van Berkel WJ, Vervoort J, Golovleva L, Rietjens IM","2001","Jan","19F NMR metabolomics for the elucidation of microbial degradation pathways of fluorophenols.","Boersma MG, Solyanikova I, Van Berkel WJ, Vervoort J, Golovleva L, Rietjens IM.19F NMR metabolomics for the elucidation of microbial degradation pathways of fluorophenols. J Ind Microbiol Biotechnol. 2001 Jan; 26(1/2):22-34." 
11418341,"Yoder OC, Turgeon BG","2001","Aug","Fungal genomics and pathogenicity.","Yoder OC, Turgeon BG.Fungal genomics and pathogenicity. Curr Opin Plant Biol. 2001 Aug; 4(4):315-21." 
11445079,"ter Kuile BH, Westerhoff HV","2001","Jul","Transcriptome meets metabolome: hierarchical and metabolic regulation of the glycolytic pathway.","ter Kuile BH, Westerhoff HV.Transcriptome meets metabolome: hierarchical and metabolic regulation of the glycolytic pathway. FEBS Lett. 2001 Jul 6; 500(3):169-71." 
11548746,"Boersma MG, Solyanikova IP, Van Berkel WJ, Vervoort J, Golovleva LA, Rietjens IM","2001","Jan-Feb","19F NMR metabolomics for the elucidation of microbial degradation pathways of fluorophenols.","Boersma MG, Solyanikova IP, Van Berkel WJ, Vervoort J, Golovleva LA, Rietjens IM.19F NMR metabolomics for the elucidation of microbial degradation pathways of fluorophenols. J Ind Microbiol Biotechnol. 2001 Jan-Feb; 26(1-2):22-34." 
11576435,"Kuiper HA, Kleter GA, Noteborn HP, Kok EJ","2001","Sep","Assessment of the food safety issues related to genetically modified foods.","Kuiper HA, Kleter GA, Noteborn HP, Kok EJ.Assessment of the food safety issues related to genetically modified foods. Plant J. 2001 Sep; 27(6):503-28." 
11687968,"Mazurek S, Zwerschke W, Jansen-Dürr P, Eigenbrodt E","2001","Oct","Metabolic cooperation between different oncogenes during cell transformation: interaction between activated ras and HPV-16 E7.","Mazurek S, Zwerschke W, Jansen-Dürr P, Eigenbrodt E.Metabolic cooperation between different oncogenes during cell transformation: interaction between activated ras and HPV-16 E7. Oncogene. 2001 Oct 18; 20(47):6891-8." 
11800579,"Oliver DJ, Nikolau B, Wurtele ES","2002","Jan","Functional genomics: high-throughput mRNA, protein, and metabolite analyses.","Oliver DJ, Nikolau B, Wurtele ES.Functional genomics: high-throughput mRNA, protein, and metabolite analyses. Metab Eng. 2002 Jan; 4(1):98-106." 
11833638,"Khandurina J, Guttman A","2002","Jan","Bioanalysis in microfluidic devices.","Khandurina J, Guttman A.Bioanalysis in microfluidic devices. J Chromatogr A. 2002 Jan 18; 943(2):159-83." 
11839178,"Oliver SG","2002","Jan","Functional genomics: lessons from yeast.","Oliver SG.Functional genomics: lessons from yeast. Philos Trans R Soc Lond B Biol Sci. 2002 Jan 29; 357(1417):17-23." 
11849953,"Phelps TJ, Palumbo AV, Beliaev AS","2002","Feb","Metabolomics and microarrays for improved understanding of phenotypic characteristics controlled by both genomics and environmental constraints.","Phelps TJ, Palumbo AV, Beliaev AS.Metabolomics and microarrays for improved understanding of phenotypic characteristics controlled by both genomics and environmental constraints. Curr Opin Biotechnol. 2002 Feb; 13(1):20-4." 
11860207,"Fiehn O","2002","Jan","Metabolomics--the link between genotypes and phenotypes.","Fiehn O.Metabolomics--the link between genotypes and phenotypes. Plant Mol Biol. 2002 Jan; 48(1-2):155-71." 
11860216,"Aharoni A, Vorst O","2002","Jan","DNA microarrays for functional plant genomics.","Aharoni A, Vorst O.DNA microarrays for functional plant genomics. Plant Mol Biol. 2002 Jan; 48(1-2):99-118." 
11870853,"Eglinton JM, Heinrich AJ, Pollnitz AP, Langridge P, Henschke PA, de Barros Lopes M","2002","Mar","Decreasing acetic acid accumulation by a glycerol overproducing strain of Saccharomyces cerevisiae by deleting the ALD6 aldehyde dehydrogenase gene.","Eglinton JM, Heinrich AJ, Pollnitz AP, Langridge P, Henschke PA, de Barros Lopes M.Decreasing acetic acid accumulation by a glycerol overproducing strain of Saccharomyces cerevisiae by deleting the ALD6 aldehyde dehydrogenase gene. Yeast. 2002 Mar 15; 19(4):295-301." 
11878803,"Shi H, Vigneau-Callahan KE, Matson WR, Kristal BS","2002","Mar","Attention to relative response across sequential electrodes improves quantitation of coulometric array.","Shi H, Vigneau-Callahan KE, Matson WR, Kristal BS.Attention to relative response across sequential electrodes improves quantitation of coulometric array. Anal Biochem. 2002 Mar 15; 302(2):239-45." 
11890475,"Williams GM, Iatropoulos MJ","2002","Jan-Feb","Alteration of liver cell function and proliferation: differentiation between adaptation and toxicity.","Williams GM, Iatropoulos MJ.Alteration of liver cell function and proliferation: differentiation between adaptation and toxicity. Toxicol Pathol. 2002 Jan-Feb; 30(1):41-53." 
11895152,"Mazurek S, Grimm H, Boschek CB, Vaupel P, Eigenbrodt E","2002","Jan","Pyruvate kinase type M2: a crossroad in the tumor metabolome.","Mazurek S, Grimm H, Boschek CB, Vaupel P, Eigenbrodt E.Pyruvate kinase type M2: a crossroad in the tumor metabolome. Br J Nutr. 2002 Jan; 87 Suppl 1:S23-9." 
11983833,"Shi H, Vigneau-Callahan KE, Shestopalov AI, Milbury PE, Matson WR, Kristal BS","2002","May","Characterization of diet-dependent metabolic serotypes: proof of principle in female and male rats.","Shi H, Vigneau-Callahan KE, Shestopalov AI, Milbury PE, Matson WR, Kristal BS.Characterization of diet-dependent metabolic serotypes: proof of principle in female and male rats. J Nutr. 2002 May; 132(5):1031-8." 
