UID,Authors,PubDate(Year),PubDate(Month),Title,Summary
11167079,"Delneri D, Brancia FL, Oliver SG","2001","Feb","Towards a truly integrative biology through the functional genomics of yeast.","Delneri D, Brancia FL, Oliver SG.Towards a truly integrative biology through the functional genomics of yeast. Curr Opin Biotechnol. 2001 Feb; 12(1):87-91." 
11356281,"Tomita M","2001","Jun","Whole-cell simulation: a grand challenge of the 21st century.","Tomita M.Whole-cell simulation: a grand challenge of the 21st century. Trends Biotechnol. 2001 Jun; 19(6):205-10." 
11418341,"Yoder OC, Turgeon BG","2001","Aug","Fungal genomics and pathogenicity.","Yoder OC, Turgeon BG.Fungal genomics and pathogenicity. Curr Opin Plant Biol. 2001 Aug; 4(4):315-21." 
11576435,"Kuiper HA, Kleter GA, Noteborn HP, Kok EJ","2001","Sep","Assessment of the food safety issues related to genetically modified foods.","Kuiper HA, Kleter GA, Noteborn HP, Kok EJ.Assessment of the food safety issues related to genetically modified foods. Plant J. 2001 Sep; 27(6):503-28." 
11800579,"Oliver DJ, Nikolau B, Wurtele ES","2002","Jan","Functional genomics: high-throughput mRNA, protein, and metabolite analyses.","Oliver DJ, Nikolau B, Wurtele ES.Functional genomics: high-throughput mRNA, protein, and metabolite analyses. Metab Eng. 2002 Jan; 4(1):98-106." 
11833638,"Khandurina J, Guttman A","2002","Jan","Bioanalysis in microfluidic devices.","Khandurina J, Guttman A.Bioanalysis in microfluidic devices. J Chromatogr A. 2002 Jan 18; 943(2):159-83." 
11849953,"Phelps TJ, Palumbo AV, Beliaev AS","2002","Feb","Metabolomics and microarrays for improved understanding of phenotypic characteristics controlled by both genomics and environmental constraints.","Phelps TJ, Palumbo AV, Beliaev AS.Metabolomics and microarrays for improved understanding of phenotypic characteristics controlled by both genomics and environmental constraints. Curr Opin Biotechnol. 2002 Feb; 13(1):20-4." 
11860207,"Fiehn O","2002","Jan","Metabolomics--the link between genotypes and phenotypes.","Fiehn O.Metabolomics--the link between genotypes and phenotypes. Plant Mol Biol. 2002 Jan; 48(1-2):155-71." 
11890475,"Williams GM, Iatropoulos MJ","2002","Jan-Feb","Alteration of liver cell function and proliferation: differentiation between adaptation and toxicity.","Williams GM, Iatropoulos MJ.Alteration of liver cell function and proliferation: differentiation between adaptation and toxicity. Toxicol Pathol. 2002 Jan-Feb; 30(1):41-53." 
11895152,"Mazurek S, Grimm H, Boschek CB, Vaupel P, Eigenbrodt E","2002","Jan","Pyruvate kinase type M2: a crossroad in the tumor metabolome.","Mazurek S, Grimm H, Boschek CB, Vaupel P, Eigenbrodt E.Pyruvate kinase type M2: a crossroad in the tumor metabolome. Br J Nutr. 2002 Jan; 87 Suppl 1:S23-9." 
12102519,"Tuberosa R, Salvi S, Sanguineti MC, Landi P, Maccaferri M, Conti S","2002","Jun","Mapping QTLs regulating morpho-physiological traits and yield: case studies, shortcomings and perspectives in drought-stressed maize.","Tuberosa R, Salvi S, Sanguineti MC, Landi P, Maccaferri M, Conti S.Mapping QTLs regulating morpho-physiological traits and yield: case studies, shortcomings and perspectives in drought-stressed maize. Ann Bot. 2002 Jun; 89 Spec No:941-63." 
12139307,"Watkins SM, German JB","2002","Jun","Metabolomics and biochemical profiling in drug discovery and development.","Watkins SM, German JB.Metabolomics and biochemical profiling in drug discovery and development. Curr Opin Mol Ther. 2002 Jun; 4(3):224-8." 
12146788,"Holtorf H, Guitton MC, Reski R","2002","Jun","Plant functional genomics.","Holtorf H, Guitton MC, Reski R.Plant functional genomics. Naturwissenschaften. 2002 Jun; 89(6):235-49." 
12221197,"German JB, Roberts MA, Fay L, Watkins SM","2002","Sep","Metabolomics and individual metabolic assessment: the next great challenge for nutrition.","German JB, Roberts MA, Fay L, Watkins SM.Metabolomics and individual metabolic assessment: the next great challenge for nutrition. J Nutr. 2002 Sep; 132(9):2486-7." 
12378948,"Reo NV","2002","Nov","NMR-based metabolomics.","Reo NV.NMR-based metabolomics. Drug Chem Toxicol. 2002 Nov; 25(4):375-82." 
12388855,"Balls M","2002","","Future improvements: replacement in vitro methods.","Balls M.Future improvements: replacement in vitro methods. ILAR J. 2002; 43 Suppl:S69-73." 
12459346,"Watkins SM, German JB","2002","Oct","Toward the implementation of metabolomic assessments of human health and nutrition.","Watkins SM, German JB.Toward the implementation of metabolomic assessments of human health and nutrition. Curr Opin Biotechnol. 2002 Oct; 13(5):512-6." 
12459347,"van Ommen B, Stierum R","2002","Oct","Nutrigenomics: exploiting systems biology in the nutrition and health arena.","van Ommen B, Stierum R.Nutrigenomics: exploiting systems biology in the nutrition and health arena. Curr Opin Biotechnol. 2002 Oct; 13(5):517-21." 
12469351,"Britz-McKibbin P, Terabe S","2002","","High-sensitivity analyses of metabolites in biological samples by capillary electrophoresis using dynamic pH junction-sweeping.","Britz-McKibbin P, Terabe S.High-sensitivity analyses of metabolites in biological samples by capillary electrophoresis using dynamic pH junction-sweeping. Chem Rec. 2002; 2(6):397-404." 
12508069,"Foyer CH, Parry M, Noctor G","2003","Jan","Markers and signals associated with nitrogen assimilation in higher plants.","Foyer CH, Parry M, Noctor G.Markers and signals associated with nitrogen assimilation in higher plants. J Exp Bot. 2003 Jan; 54(382):585-93." 
12590110,"Sumner LW, Mendes P, Dixon RA","2003","Mar","Plant metabolomics: large-scale phytochemistry in the functional genomics era.","Sumner LW, Mendes P, Dixon RA.Plant metabolomics: large-scale phytochemistry in the functional genomics era. Phytochemistry. 2003 Mar; 62(6):817-36." 
12590111,"Schwab W","2003","Mar","Metabolome diversity: too few genes, too many metabolites?","Schwab W.Metabolome diversity: too few genes, too many metabolites? Phytochemistry. 2003 Mar; 62(6):837-49." 
12705319,"Falus A","2003","","Histamine, part of the metabolome.","Falus A.Histamine, part of the metabolome. Acta Biol Hung. 2003; 54(1):27-34." 
12730471,"Young VR","2003","May","Trace element biology: the knowledge base and its application for the nutrition of individuals and populations.","Young VR.Trace element biology: the knowledge base and its application for the nutrition of individuals and populations. J Nutr. 2003 May; 133(5 Suppl 1):1581S-7S." 
12732314,"Stitt M, Fernie AR","2003","Apr","From measurements of metabolites to metabolomics: an 'on the fly' perspective illustrated by recent studies of carbon-nitrogen interactions.","Stitt M, Fernie AR.From measurements of metabolites to metabolomics: an 'on the fly' perspective illustrated by recent studies of carbon-nitrogen interactions. Curr Opin Biotechnol. 2003 Apr; 14(2):136-44." 
12732326,"Hofmann G, McIntyre M, Nielsen J","2003","Apr","Fungal genomics beyond Saccharomyces cerevisiae?","Hofmann G, McIntyre M, Nielsen J.Fungal genomics beyond Saccharomyces cerevisiae? Curr Opin Biotechnol. 2003 Apr; 14(2):226-31." 
12746139,"Bakshi A","2003","May-Jun","Potential adverse health effects of genetically modified crops.","Bakshi A.Potential adverse health effects of genetically modified crops. J Toxicol Environ Health B Crit Rev. 2003 May-Jun; 6(3):211-25." 
12749730,"Steele D, Kertsburg A, Soukup GA","2003","","Engineered catalytic RNA and DNA : new biochemical tools for drug discovery and design.","Steele D, Kertsburg A, Soukup GA.Engineered catalytic RNA and DNA : new biochemical tools for drug discovery and design. Am J Pharmacogenomics. 2003; 3(2):131-44." 
12771369,"German JB, Roberts MA, Watkins SM","2003","Jun","Genomics and metabolomics as markers for the interaction of diet and health: lessons from lipids.","German JB, Roberts MA, Watkins SM.Genomics and metabolomics as markers for the interaction of diet and health: lessons from lipids. J Nutr. 2003 Jun; 133(6 Suppl 1):2078S-2083S." 
12771372,"Noguchi Y, Sakai R, Kimura T","2003","Jun","Metabolomics and its potential for assessment of adequacy and safety of amino acid intake.","Noguchi Y, Sakai R, Kimura T.Metabolomics and its potential for assessment of adequacy and safety of amino acid intake. J Nutr. 2003 Jun; 133(6 Suppl 1):2097S-2100S." 
12791383,"Griffiths JR, Stubbs M","2003","","Opportunities for studying cancer by metabolomics: preliminary observations on tumors deficient in hypoxia-inducible factor 1.","Griffiths JR, Stubbs M.Opportunities for studying cancer by metabolomics: preliminary observations on tumors deficient in hypoxia-inducible factor 1. Adv Enzyme Regul. 2003; 43:67-76." 
12867150,"Howbrook DN, van der Valk AM, O'Shaughnessy MC, Sarker DK, Baker SC, Lloyd AW","2003","Jul","Developments in microarray technologies.","Howbrook DN, van der Valk AM, O'Shaughnessy MC, Sarker DK, Baker SC, Lloyd AW.Developments in microarray technologies. Drug Discov Today. 2003 Jul 15; 8(14):642-51." 
12877205,"Britz-McKibbin P, Terabe S","2003","Jun","On-line preconcentration strategies for trace analysis of metabolites by capillary electrophoresis.","Britz-McKibbin P, Terabe S.On-line preconcentration strategies for trace analysis of metabolites by capillary electrophoresis. J Chromatogr A. 2003 Jun 6; 1000(1-2):917-34." 
12940935,"John S, Cesario D, Weiss JN","2003","Sep","Gap junctional hemichannels in the heart.","John S, Cesario D, Weiss JN.Gap junctional hemichannels in the heart. Acta Physiol Scand. 2003 Sep; 179(1):23-31." 
12959183,"Nicosia SV, Bai W, Cheng JQ, Coppola D, Kruk PA","2003","Aug","Oncogenic pathways implicated in ovarian epithelial cancer.","Nicosia SV, Bai W, Cheng JQ, Coppola D, Kruk PA.Oncogenic pathways implicated in ovarian epithelial cancer. Hematol Oncol Clin North Am. 2003 Aug; 17(4):927-43." 
14499124,"von Stockar U, Valentinotti S, Marison I, Cannizzaro C, Herwig C","2003","Aug","Know-how and know-why in biochemical engineering.","von Stockar U, Valentinotti S, Marison I, Cannizzaro C, Herwig C.Know-how and know-why in biochemical engineering. Biotechnol Adv. 2003 Aug; 21(5):417-30." 
14503007,"Weckwerth W","2003","","Metabolomics in systems biology.","Weckwerth W.Metabolomics in systems biology. Annu Rev Plant Biol. 2003; 54:669-89." 
14573364,"Burja AM, Dhamwichukorn S, Wright PC","2003","Nov","Cyanobacterial postgenomic research and systems biology.","Burja AM, Dhamwichukorn S, Wright PC.Cyanobacterial postgenomic research and systems biology. Trends Biotechnol. 2003 Nov; 21(11):504-11." 
14580571,"Griffin JL","2003","Oct","Metabonomics: NMR spectroscopy and pattern recognition analysis of body fluids and tissues for characterisation of xenobiotic toxicity and disease diagnosis.","Griffin JL.Metabonomics: NMR spectroscopy and pattern recognition analysis of body fluids and tissues for characterisation of xenobiotic toxicity and disease diagnosis. Curr Opin Chem Biol. 2003 Oct; 7(5):648-54." 
14608122,"Go VL, Butrum RR, Wong DA","2003","Nov","Diet, nutrition, and cancer prevention: the postgenomic era.","Go VL, Butrum RR, Wong DA.Diet, nutrition, and cancer prevention: the postgenomic era. J Nutr. 2003 Nov; 133(11 Suppl 1):3830S-3836S." 
14625002,"Shackleton C, Malunowicz E","2003","Oct","Apparent pregnene hydroxylation deficiency (APHD): seeking the parentage of an orphan metabolome.","Shackleton C, Malunowicz E.Apparent pregnene hydroxylation deficiency (APHD): seeking the parentage of an orphan metabolome. Steroids. 2003 Oct; 68(9):707-17." 
14631800,"Saito K","2003","Nov","[Plant metabolomics].","Saito K.[Plant metabolomics]. Tanpakushitsu Kakusan Koso. 2003 Nov; 48(15 Suppl):2199-204." 
14651863,"Golyshin PN, Martins Dos Santos VA, Kaiser O, Ferrer M, Sabirova YS, Lünsdorf H, Chernikova TN, Golyshina OV, Yakimov MM, Pühler A, Timmis KN","2003","Dec","Genome sequence completed of Alcanivorax borkumensis, a hydrocarbon-degrading bacterium that plays a global role in oil removal from marine systems.","Golyshin PN, Martins Dos Santos VA, Kaiser O, Ferrer M, Sabirova YS, Lünsdorf H, Chernikova TN, Golyshina OV, Yakimov MM, Pühler A, Timmis KN.Genome sequence completed of Alcanivorax borkumensis, a hydrocarbon-degrading bacterium that plays a global role in oil removal from marine systems. J Biotechnol. 2003 Dec 19; 106(2-3):215-20." 
14652172,"Grivet JP, Delort AM, Portais JC","2003","Sep","NMR and microbiology: from physiology to metabolomics.","Grivet JP, Delort AM, Portais JC.NMR and microbiology: from physiology to metabolomics. Biochimie. 2003 Sep; 85(9):823-40." 
14652175,"Baverel G, Conjard A, Chauvin MF, Vercoutere B, Vittorelli A, Dubourg L, Gauthier C, Michoudet C, Durozard D, Martin G","2003","Sep","Carbon 13 NMR spectroscopy: a powerful tool for studying renal metabolism.","Baverel G, Conjard A, Chauvin MF, Vercoutere B, Vittorelli A, Dubourg L, Gauthier C, Michoudet C, Durozard D, Martin G.Carbon 13 NMR spectroscopy: a powerful tool for studying renal metabolism. Biochimie. 2003 Sep; 85(9):863-71." 
14652384,"German JB, Roberts MA, Watkins SM","2003","Dec","Personal metabolomics as a next generation nutritional assessment.","German JB, Roberts MA, Watkins SM.Personal metabolomics as a next generation nutritional assessment. J Nutr. 2003 Dec; 133(12):4260-6." 
14683502,"Boros LG, Brackett DJ, Harrigan GG","2003","Dec","Metabolic biomarker and kinase drug target discovery in cancer using stable isotope-based dynamic metabolic profiling (SIDMAP).","Boros LG, Brackett DJ, Harrigan GG.Metabolic biomarker and kinase drug target discovery in cancer using stable isotope-based dynamic metabolic profiling (SIDMAP). Curr Cancer Drug Targets. 2003 Dec; 3(6):445-53." 
14693467,"Perić-Concha N, Long PF","2003","Dec","Mining the microbial metabolome: a new frontier for natural product lead discovery.","Perić-Concha N, Long PF.Mining the microbial metabolome: a new frontier for natural product lead discovery. Drug Discov Today. 2003 Dec 1; 8(23):1078-84." 
14708031,"Swatton JE, Prabakaran S, Karp NA, Lilley KS, Bahn S","2004","Feb","Protein profiling of human postmortem brain using 2-dimensional fluorescence difference gel electrophoresis (2-D DIGE).","Swatton JE, Prabakaran S, Karp NA, Lilley KS, Bahn S.Protein profiling of human postmortem brain using 2-dimensional fluorescence difference gel electrophoresis (2-D DIGE). Mol Psychiatry. 2004 Feb; 9(2):128-43." 
14708720,"Hicks J","2003","Sep-Oct","Genome, proteome, and metabolome: where are we going?","Hicks J.Genome, proteome, and metabolome: where are we going? Ultrastruct Pathol. 2003 Sep-Oct; 27(5):289-94." 
14744094,"Auffray C, Imbeaud S, Roux-Rouquié M, Hood L","2003","Oct-Nov","From functional genomics to systems biology: concepts and practices.","Auffray C, Imbeaud S, Roux-Rouquié M, Hood L.From functional genomics to systems biology: concepts and practices. C R Biol. 2003 Oct-Nov; 326(10-11):879-92." 
14761307,"Castrillo JI, Oliver SG","2004","Jan","Yeast as a touchstone in post-genomic research: strategies for integrative analysis in functional genomics.","Castrillo JI, Oliver SG.Yeast as a touchstone in post-genomic research: strategies for integrative analysis in functional genomics. J Biochem Mol Biol. 2004 Jan 31; 37(1):93-106." 
14960391,"Guttman A, Varoglu M, Khandurina J","2004","Feb","Multidimensional separations in the pharmaceutical arena.","Guttman A, Varoglu M, Khandurina J.Multidimensional separations in the pharmaceutical arena. Drug Discov Today. 2004 Feb 1; 9(3):136-44." 
14982149,"Parsons L, Orban J","2004","Jan","Structural genomics and the metabolome: combining computational and NMR methods to identify target ligands.","Parsons L, Orban J.Structural genomics and the metabolome: combining computational and NMR methods to identify target ligands. Curr Opin Drug Discov Devel. 2004 Jan; 7(1):62-8." 
15003699,"Snape JR, Maund SJ, Pickford DB, Hutchinson TH","2004","Apr","Ecotoxicogenomics: the challenge of integrating genomics into aquatic and terrestrial ecotoxicology.","Snape JR, Maund SJ, Pickford DB, Hutchinson TH.Ecotoxicogenomics: the challenge of integrating genomics into aquatic and terrestrial ecotoxicology. Aquat Toxicol. 2004 Apr 14; 67(2):143-54." 
15007099,"Vimr ER, Kalivoda KA, Deszo EL, Steenbergen SM","2004","Mar","Diversity of microbial sialic acid metabolism.","Vimr ER, Kalivoda KA, Deszo EL, Steenbergen SM.Diversity of microbial sialic acid metabolism. Microbiol Mol Biol Rev. 2004 Mar; 68(1):132-53." 
15017352,"Ordovas JM, Mooser V","2004","Apr","Nutrigenomics and nutrigenetics.","Ordovas JM, Mooser V.Nutrigenomics and nutrigenetics. Curr Opin Lipidol. 2004 Apr; 15(2):101-8." 
15070447,"Arab L","2004","Feb","Individualized nutritional recommendations: do we have the measurements needed to assess risk and make dietary recommendations?","Arab L.Individualized nutritional recommendations: do we have the measurements needed to assess risk and make dietary recommendations? Proc Nutr Soc. 2004 Feb; 63(1):167-72." 
15093284,"Walgren JL, Thompson DC","2004","Apr","Application of proteomic technologies in the drug development process.","Walgren JL, Thompson DC.Application of proteomic technologies in the drug development process. Toxicol Lett. 2004 Apr 1; 149(1-3):377-85." 
15101609,"Cleves MA, Hobbs CA","2004","Jan","Collaborative strategies for unraveling the complexity of birth defects.","Cleves MA, Hobbs CA.Collaborative strategies for unraveling the complexity of birth defects. J Matern Fetal Neonatal Med. 2004 Jan; 15(1):35-8." 
15109811,"Goodacre R, Vaidyanathan S, Dunn WB, Harrigan GG, Kell DB","2004","May","Metabolomics by numbers: acquiring and understanding global metabolite data.","Goodacre R, Vaidyanathan S, Dunn WB, Harrigan GG, Kell DB.Metabolomics by numbers: acquiring and understanding global metabolite data. Trends Biotechnol. 2004 May; 22(5):245-52." 
15123383,"Cellini F, Chesson A, Colquhoun I, Constable A, Davies HV, Engel KH, Gatehouse AM, Kärenlampi S, Kok EJ, Leguay JJ, Lehesranta S, Noteborn HP, Pedersen J, Smith M","2004","Jul","Unintended effects and their detection in genetically modified crops.","Cellini F, Chesson A, Colquhoun I, Constable A, Davies HV, Engel KH, Gatehouse AM, Kärenlampi S, Kok EJ, Leguay JJ, Lehesranta S, Noteborn HP, Pedersen J, Smith M.Unintended effects and their detection in genetically modified crops. Food Chem Toxicol. 2004 Jul; 42(7):1089-125." 
15163362,"Arita M","2004","Apr","Additional paper: computational resources for metabolomics.","Arita M.Additional paper: computational resources for metabolomics. Brief Funct Genomic Proteomic. 2004 Apr; 3(1):84-93." 
15190190,"Scriver CR","2004","","After the genome--the phenome?","Scriver CR.After the genome--the phenome? J Inherit Metab Dis. 2004; 27(3):305-17." 
15196499,"Kell DB","2004","Jun","Metabolomics and systems biology: making sense of the soup.","Kell DB.Metabolomics and systems biology: making sense of the soup. Curr Opin Microbiol. 2004 Jun; 7(3):296-307." 
15208337,"Hirai MY, Saito K","2004","Aug","Post-genomics approaches for the elucidation of plant adaptive mechanisms to sulphur deficiency.","Hirai MY, Saito K.Post-genomics approaches for the elucidation of plant adaptive mechanisms to sulphur deficiency. J Exp Bot. 2004 Aug; 55(404):1871-9." 
15208339,"Nikiforova VJ, Gakière B, Kempa S, Adamik M, Willmitzer L, Hesse H, Hoefgen R","2004","Aug","Towards dissecting nutrient metabolism in plants: a systems biology case study on sulphur metabolism.","Nikiforova VJ, Gakière B, Kempa S, Adamik M, Willmitzer L, Hesse H, Hoefgen R.Towards dissecting nutrient metabolism in plants: a systems biology case study on sulphur metabolism. J Exp Bot. 2004 Aug; 55(404):1861-70." 
15225581,"Davis CD, Milner J","2004","Jul","Frontiers in nutrigenomics, proteomics, metabolomics and cancer prevention.","Davis CD, Milner J.Frontiers in nutrigenomics, proteomics, metabolomics and cancer prevention. Mutat Res. 2004 Jul 13; 551(1-2):51-64." 
15306403,"Griffin JL","2004","Jun","Metabolic profiles to define the genome: can we hear the phenotypes?","Griffin JL.Metabolic profiles to define the genome: can we hear the phenotypes? Philos Trans R Soc Lond B Biol Sci. 2004 Jun 29; 359(1446):857-71." 
15376278,"Kuhara T","2005","Nov-Dec","Gas chromatographic-mass spectrometric urinary metabolome analysis to study mutations of inborn errors of metabolism.","Kuhara T.Gas chromatographic-mass spectrometric urinary metabolome analysis to study mutations of inborn errors of metabolism. Mass Spectrom Rev. 2005 Nov-Dec; 24(6):814-27." 
15377037,"Taguchi R","2004","Aug","[Systems for lipidomics: metabolomics focused on lipids].","Taguchi R.[Systems for lipidomics: metabolomics focused on lipids]. Tanpakushitsu Kakusan Koso. 2004 Aug; 49(11 Suppl):1911-6." 
