UID,Authors,PubDate(Year),PubDate(Month),Title,Summary
16026949,"Verpoorte R, Choi YH, Kim HK","2005","Aug","Ethnopharmacology and systems biology: a perfect holistic match.","Verpoorte R, Choi YH, Kim HK.Ethnopharmacology and systems biology: a perfect holistic match. J Ethnopharmacol. 2005 Aug 22; 100(1-2):53-6." 
16098176,"Valet G","2005","Aug","Cytomics, the human cytome project and systems biology: top-down resolution of the molecular biocomplexity of organisms by single cell analysis.","Valet G.Cytomics, the human cytome project and systems biology: top-down resolution of the molecular biocomplexity of organisms by single cell analysis. Cell Prolif. 2005 Aug; 38(4):171-4." 
16216773,"Fischer HP","2005","","Towards quantitative biology: integration of biological information to elucidate disease pathways and to guide drug discovery.","Fischer HP.Towards quantitative biology: integration of biological information to elucidate disease pathways and to guide drug discovery. Biotechnol Annu Rev. 2005; 11:1-68." 
16317166,"Lee WN, Go VL","2005","Dec","Nutrient-gene interaction: tracer-based metabolomics.","Lee WN, Go VL.Nutrient-gene interaction: tracer-based metabolomics. J Nutr. 2005 Dec; 135(12 Suppl):3027S-3032S." 
16772263,"Castle AL, Fiehn O, Kaddurah-Daouk R, Lindon JC","2006","Jun","Metabolomics Standards Workshop and the development of international standards for reporting metabolomics experimental results.","Castle AL, Fiehn O, Kaddurah-Daouk R, Lindon JC.Metabolomics Standards Workshop and the development of international standards for reporting metabolomics experimental results. Brief Bioinform. 2006 Jun; 7(2):159-65." 
17849010,"Verkhedkar KD, Raman K, Chandra NR, Vishveshwara S","2007","Sep","Metabolome based reaction graphs of M. tuberculosis and M. leprae: a comparative network analysis.","Verkhedkar KD, Raman K, Chandra NR, Vishveshwara S.Metabolome based reaction graphs of M. tuberculosis and M. leprae: a comparative network analysis. PLoS One. 2007 Sep 12; 2(9):e881." 
17878516,"Brennan DJ, Kelly C, Rexhepaj E, Dervan PA, Duffy MJ, Gallagher WM","2007","May-Jun","Contribution of DNA and tissue microarray technology to the identification and validation of biomarkers and personalised medicine in breast cancer.","Brennan DJ, Kelly C, Rexhepaj E, Dervan PA, Duffy MJ, Gallagher WM.Contribution of DNA and tissue microarray technology to the identification and validation of biomarkers and personalised medicine in breast cancer. Cancer Genomics Proteomics. 2007 May-Jun; 4(3):121-34." 
18019045,"Waddington JL","2007","Aug","Neuroimaging and other neurobiological indices in schizophrenia: relationship to measurement of functional outcome.","Waddington JL.Neuroimaging and other neurobiological indices in schizophrenia: relationship to measurement of functional outcome. Br J Psychiatry Suppl. 2007 Aug; 50:s52-7." 
18191937,"Tan K, Tegner J, Ravasi T","2008","Mar","Integrated approaches to uncovering transcription regulatory networks in mammalian cells.","Tan K, Tegner J, Ravasi T.Integrated approaches to uncovering transcription regulatory networks in mammalian cells. Genomics. 2008 Mar; 91(3):219-31." 
18326557,"Samuel JL, Schaub MC, Zaugg M, Mamas M, Dunn WB, Swynghedauw B","2008","Jul","Genomics in cardiac metabolism.","Samuel JL, Schaub MC, Zaugg M, Mamas M, Dunn WB, Swynghedauw B.Genomics in cardiac metabolism. Cardiovasc Res. 2008 Jul 15; 79(2):218-27." 
18765459,"Neuweger H, Albaum SP, Dondrup M, Persicke M, Watt T, Niehaus K, Stoye J, Goesmann A","2008","Dec","MeltDB: a software platform for the analysis and integration of metabolomics experiment data.","Neuweger H, Albaum SP, Dondrup M, Persicke M, Watt T, Niehaus K, Stoye J, Goesmann A.MeltDB: a software platform for the analysis and integration of metabolomics experiment data. Bioinformatics. 2008 Dec 1; 24(23):2726-32." 
